class,label,precision,recall,f1,support
brush_hair,0,1.0000,1.0000,1.0000,6
cartwheel,1,0.6250,0.8333,0.7143,6
catch,2,0.5000,0.5000,0.5000,6
chew,3,0.6667,1.0000,0.8000,6
clap,4,0.8571,1.0000,0.9231,6
climb,5,0.6250,0.8333,0.7143,6
climb_stairs,6,0.8333,0.8333,0.8333,6
dive,7,1.0000,0.1667,0.2857,6
draw_sword,8,1.0000,0.1667,0.2857,6
dribble,9,1.0000,1.0000,1.0000,6
drink,10,0.7143,0.8333,0.7692,6
eat,11,0.8000,0.6667,0.7273,6
fall_floor,12,0.3333,0.1667,0.2222,6
fencing,13,0.8000,0.6667,0.7273,6
flic_flac,14,0.0000,0.0000,0.0000,6
golf,15,1.0000,1.0000,1.0000,6
handstand,16,0.6000,0.5000,0.5455,6
hit,17,1.0000,0.6667,0.8000,6
hug,18,0.8571,1.0000,0.9231,6
jump,19,0.3333,0.1667,0.2222,6
kick,20,0.2000,0.1667,0.1818,6
kick_ball,21,0.5000,0.6667,0.5714,6
kiss,22,1.0000,1.0000,1.0000,6
laugh,23,0.8571,1.0000,0.9231,6
pick,24,0.5000,0.3333,0.4000,6
pour,25,0.8000,0.6667,0.7273,6
pullup,26,1.0000,1.0000,1.0000,6
punch,27,0.4286,0.5000,0.4615,6
push,28,0.6667,1.0000,0.8000,6
pushup,29,1.0000,1.0000,1.0000,6
ride_bike,30,1.0000,1.0000,1.0000,6
ride_horse,31,1.0000,0.6667,0.8000,6
run,32,0.3333,0.1667,0.2222,6
shake_hands,33,0.5000,0.8333,0.6250,6
shoot_ball,34,1.0000,1.0000,1.0000,6
shoot_bow,35,0.8333,0.8333,0.8333,6
shoot_gun,36,1.0000,0.8333,0.9091,6
sit,37,0.0000,0.0000,0.0000,6
situp,38,1.0000,1.0000,1.0000,6
smile,39,0.8333,0.8333,0.8333,6
smoke,40,0.5455,1.0000,0.7059,6
somersault,41,0.5000,1.0000,0.6667,6
stand,42,0.0000,0.0000,0.0000,6
swing_baseball,43,1.0000,1.0000,1.0000,6
sword,44,0.3000,1.0000,0.4615,6
sword_exercise,45,0.4444,0.6667,0.5333,6
talk,46,0.2222,0.3333,0.2667,6
throw,47,0.3000,0.5000,0.3750,6
turn,48,0.0000,0.0000,0.0000,6
walk,49,0.2500,0.3333,0.2857,6
wave,50,0.5000,0.1667,0.2500,6
