class,label,precision,recall,f1,support
brush_hair,0,1.0000,1.0000,1.0000,6
cartwheel,1,0.0000,0.0000,0.0000,6
catch,2,0.6667,1.0000,0.8000,6
chew,3,0.8571,1.0000,0.9231,6
clap,4,0.7500,1.0000,0.8571,6
climb,5,1.0000,0.8333,0.9091,6
climb_stairs,6,1.0000,0.5000,0.6667,6
dive,7,0.8000,0.6667,0.7273,6
draw_sword,8,1.0000,0.6667,0.8000,6
dribble,9,1.0000,1.0000,1.0000,6
drink,10,1.0000,1.0000,1.0000,6
eat,11,1.0000,0.8333,0.9091,6
fall_floor,12,0.6667,0.6667,0.6667,6
fencing,13,0.8571,1.0000,0.9231,6
flic_flac,14,0.2500,1.0000,0.4000,6
golf,15,1.0000,1.0000,1.0000,6
handstand,16,0.0000,0.0000,0.0000,6
hit,17,0.6667,0.6667,0.6667,6
hug,18,1.0000,1.0000,1.0000,6
jump,19,0.6667,1.0000,0.8000,6
kick,20,0.8000,0.6667,0.7273,6
kick_ball,21,0.8000,0.6667,0.7273,6
kiss,22,1.0000,1.0000,1.0000,6
laugh,23,1.0000,1.0000,1.0000,6
pick,24,1.0000,0.5000,0.6667,6
pour,25,1.0000,1.0000,1.0000,6
pullup,26,1.0000,1.0000,1.0000,6
punch,27,0.7500,0.5000,0.6000,6
push,28,1.0000,1.0000,1.0000,6
pushup,29,1.0000,1.0000,1.0000,6
ride_bike,30,1.0000,1.0000,1.0000,6
ride_horse,31,1.0000,0.8333,0.9091,6
run,32,0.3636,0.6667,0.4706,6
shake_hands,33,1.0000,0.6667,0.8000,6
shoot_ball,34,1.0000,1.0000,1.0000,6
shoot_bow,35,0.8571,1.0000,0.9231,6
shoot_gun,36,1.0000,1.0000,1.0000,6
sit,37,0.2857,0.3333,0.3077,6
situp,38,1.0000,1.0000,1.0000,6
smile,39,1.0000,0.8333,0.9091,6
smoke,40,1.0000,1.0000,1.0000,6
somersault,41,0.0000,0.0000,0.0000,6
stand,42,0.4286,0.5000,0.4615,6
swing_baseball,43,1.0000,1.0000,1.0000,6
sword,44,1.0000,0.5000,0.6667,6
sword_exercise,45,0.7500,1.0000,0.8571,6
talk,46,0.5714,0.6667,0.6154,6
throw,47,0.6000,0.5000,0.5455,6
turn,48,0.4615,1.0000,0.6316,6
walk,49,0.7500,0.5000,0.6000,6
wave,50,1.0000,0.3333,0.5000,6
